Comment,Designator,Footprint,LCSC,Quantity
16MHz,Y1,OSC-SMD_4P-L3.2-W2.5-BL,C13738,1
120R @ 100MHz,FB1,L_0603_1608Metric,C14709,1
10n,C6,C_0402_1005Metric,C15195,1
100n,"C1,C2,C3,C4,C9",C_0402_1005Metric,C1525,5
1u,"C7,C8",C_0603_1608Metric,C15849,2
10u,C5,C_0603_1608Metric,C19702,1
1k,R6,R_0603_1608Metric,C21190,1
YELLOW,D2,LED_0805_2012Metric,C2296,1
GREEN,D1,LED_0805_2012Metric,C2297,1
470R,R5,R_0603_1608Metric,C23179,1
10k,R1,C_0402_1005Metric,C25744,1
1k5,"R4,R7,R8",R_0402_1005Metric,C25867,3
5k1,"R2,R3",R_0402_1005Metric,C25905,2
Conn_01x04_Pin,"J2,J3,J4",HDR-TH_4P-P2.54-V-M,C2691448,3
USB_C_Receptacle_USB2.0_16P,J1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186,1
10p,"C10,C11",C_0402_1005Metric,C32949,2
22u,"C12,C13",C_0805_2012Metric,C45783,2
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186,1
STM32F103C8T6,U2,LQFP-48_7x7mm_P0.5mm,C8734,1
SW_SPDT,SW1,SW-SMD_K3-1280S-K1,C92658,1
TestPoint,TP4,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
TestPoint,TP3,TestPoint_THTPad_D1.5mm_Drill0.7mm,,1
